NIT;razon_social;contacto;telefono;email;ciudad;categoria_principal;tiempo_entrega;forma_pago
800000000-2;Centelsa S.A.;Luis Gómez;6063372872;ventas@centelsasa.com;Cali;Cables y Eléctricos;5;Contado
800013579-1;Titan Manufacturas;Fernando Sánchez;6063298522;ventas@titanmanufacturas.com;Medellín;Abrazaderas y Herrajes;3;Crédito 30 días
800027158-6;Ferretería Central S.A.S.;Pedro Sánchez;6063657564;ventas@ferreteríacentralsas.com;Bogotá;Herramientas Manuales;3;Crédito 30 días
800040737-0;Pavco Occidente;Pedro Torres;6063839804;ventas@pavcooccidente.com;Pereira;Tuberías y PVC;2;Crédito 30 días
800054316-5;Argos S.A.;Santiago López;6063142291;ventas@argossa.com;Medellín;Cementos y Agregados;2;Crédito 30 días
800067895-0;Corona Ferretería;Diego Gómez;6063125675;ventas@coronaferretería.com;Bogotá;Acabados y Grifería;7;Crédito 30 días
800081474-6;Sika Colombia;Fernando Gómez;6063729698;ventas@sikacolombia.com;Tocancipá;Químicos e Impermeabilizantes;3;Crédito 30 días
800095053-3;Imusa Profesional;Fernando López;6063433713;ventas@imusaprofesional.com;Rionegro;Herramientas;2;Crédito 30 días
800108632-3;Homecenter Mayorista;Carlos Ramírez;6063890605;ventas@homecentermayorista.com;Pereira;Surtido General;3;Crédito 30 días
800122211-1;Distribuidora Eléctrica del Eje;Andrés Sánchez;6063572963;ventas@distribuidoraeléctricadeleje.com;Manizales;Eléctricos;7;Crédito 30 días
800135790-2;Tornillos y Pernos del Café;Santiago Torres;6063576128;ventas@tornillosypernosdelcafé.com;Armenia;Fijaciones;2;Contado
800149369-2;Aceros Mapre;Andrés Gómez;6063925626;ventas@acerosmapre.com;Medellín;Perfiles y Hierros;7;Contado
800162948-7;Pinturas Tito Pabón;Andrés Martínez;6063420146;ventas@pinturastitopabón.com;Bogotá;Pinturas;7;Contado
800176527-8;Pintuco Eje Cafetero;Luis López;6063225355;ventas@pintucoejecafetero.com;Pereira;Pinturas;5;Contado
800190106-7;Herramientas Stanley Colombia;Santiago Martínez;6063317400;ventas@herramientasstanleycolombia.com;Bogotá;Herramientas Especializadas;2;Contado
